OS,Scenario,Domain,Sent_Packets,Sent_Bytes,Recv_Packets,Recv_Bytes,isGoogle,isUpdatePayload,isFirstParty
lineage-gapps,A,play.googleapis.com,106,62476,108,42104,True,False,False
lineage-gapps,A,time.google.com,2,180,2,180,True,False,False
lineage-gapps,A,voilatile-pa.googleapis.com,527,207144,882,840161,True,False,False
lineage-gapps,A,www.google.com,106,50835,97,29505,True,False,False
lineage-gapps,A2,android.googleapis.com,117,70387,127,55571,True,False,False
lineage-gapps,A2,clients.l.google.com,24,7553,21,11722,True,False,False
lineage-gapps,A2,connectivitycheck.gstatic.com,15,2080,14,4724,True,False,False
lineage-gapps,A2,download.lineageos.org,9,1414,10,5512,False,False,True
lineage-gapps,A2,googleads.g.doubleclick.net,30,10339,37,18985,True,False,False
lineage-gapps,A2,igmp.mcast.net,44,2376,0,0,False,False,False
lineage-gapps,A2,mdns.mcast.net,149,40331,0,0,False,False,False
lineage-gapps,A2,mobile-gtalk.l.google.com,28,3155,27,10127,True,False,False
lineage-gapps,A2,play-fe.googleapis.com,83,72161,61,21413,True,False,False
lineage-gapps,A2,playatoms-pa.googleapis.com,457,205636,601,492124,True,False,False
lineage-gapps,A2,time.google.com,2,180,2,180,True,False,False
lineage-gapps,A2,www.google.com,132,71797,111,24443,True,False,False
lineage-gapps,B,android.googleapis.com,65,42113,70,22348,True,False,False
lineage-gapps,B,clients.l.google.com,33,10117,33,18671,True,False,False
lineage-gapps,B,connectivitycheck.gstatic.com,62,7249,63,9310,True,False,False
lineage-gapps,B,digitalassetlinks.googleapis.com,336,161395,502,455341,True,False,False
lineage-gapps,B,download.lineageos.org,9,1426,11,5602,False,False,True
lineage-gapps,B,mdns.mcast.net,1,183,0,0,False,False,False
lineage-gapps,B,mobile-gtalk.l.google.com,25,2978,24,9017,True,False,False
lineage-gapps,B,play-fe.googleapis.com,74,68701,52,18209,True,False,False
lineage-gapps,B,time.google.com,2,180,2,180,True,False,False
lineage-gapps,B,www.google.com,301,64870,294,83603,True,False,False
lineage-microg,A,agnss.goog,60,4906,139,195388,True,False,False
lineage-microg,A,android.l.google.com,31,7206,33,22509,True,False,False
lineage-microg,A,connectivitycheck.gstatic.com,5,565,6,550,True,False,False
lineage-microg,A,mobile-gtalk.l.google.com,17,1789,15,8306,True,False,False
lineage-microg,A,remoteprovisioning.googleapis.com,8,1518,9,5422,True,False,False
lineage-microg,A,time.android.com,1,90,1,90,True,False,False
lineage-microg,A,www.google.com,10,1507,11,4304,True,False,False
lineage-microg,B,android.l.google.com,36,7621,43,25353,True,False,False
lineage-microg,B,connectivitycheck.gstatic.com,5,565,5,484,True,False,False
lineage-microg,B,mobile-gtalk.l.google.com,15,1715,18,8531,True,False,False
lineage-microg,B,remoteprovisioning.googleapis.com,9,1584,9,5424,True,False,False
lineage-microg,B,time.android.com,1,90,1,90,True,False,False
lineage-microg,B,www.google.com,10,1507,11,4303,True,False,False
lineage-microg,C,connectivitycheck.gstatic.com,5,565,5,484,True,False,False
lineage-microg,C,remoteprovisioning.googleapis.com,8,1518,9,5423,True,False,False
lineage-microg,C,time.android.com,1,90,1,90,True,False,False
lineage-microg,C,www.google.com,10,1507,11,4303,True,False,False
stock,A,agnss.goog,79,6124,148,199837,True,False,False
stock,A,connectivitycheck.gstatic.com,5,565,5,484,True,False,False
stock,A,dl.google.com,14,3155,13,8739,True,True,False
stock,A,googleads.g.doubleclick.net,28,9538,28,17682,True,False,False
stock,A,igmp.mcast.net,36,1944,0,0,False,False,False
stock,A,mdns.mcast.net,133,37815,0,0,False,False,False
stock,A,mobile-gtalk.l.google.com,22,2823,23,8939,True,False,False
stock,A,photosdata-pa.googleapis.com,827,301126,1037,868031,True,False,False
stock,A,play-fe.googleapis.com,71,59864,52,18185,True,False,False
stock,A,play.googleapis.com,249,178926,239,83139,True,False,False
stock,A,time.google.com,2,180,2,180,True,False,False
stock,A,www.google.com,10,1507,10,4250,True,False,False
stock,A2,android.googleapis.com,413,259815,423,164872,True,False,False
stock,A2,clients.l.google.com,42,12473,42,16500,True,False,False
stock,A2,connectivitycheck.gstatic.com,25,3825,22,9034,True,False,False
stock,A2,dl.google.com,5573,380161,15038,21952742,True,True,False
stock,A2,googleads.g.doubleclick.net,15,5500,14,10051,True,False,False
stock,A2,igmp.mcast.net,52,2808,0,0,False,False,False
stock,A2,locationhistory-pa.googleapis.com,946,339055,1183,887444,True,False,False
stock,A2,mdns.mcast.net,147,42659,0,0,False,False,False
stock,A2,mobile-gtalk.l.google.com,25,3712,26,10066,True,False,False
stock,A2,play-fe.googleapis.com,84,68297,66,25840,True,False,False
stock,A2,ssl.gstatic.com,382,51376,351,430605,True,False,False
stock,A2,time.google.com,2,180,2,180,True,False,False
stock,A2,www.google.com,11,1573,11,4304,True,False,False
stock,B,clients.l.google.com,28,8780,28,14870,True,False,False
stock,B,connectivitycheck.gstatic.com,375,51058,342,409288,True,False,False
stock,B,digitalassetlinks.googleapis.com,421,179372,625,588837,True,False,False
stock,B,dl.google.com,5425,364249,14885,21806934,True,True,False
stock,B,mobile-gtalk.l.google.com,19,2277,20,8738,True,False,False
stock,B,play-fe.googleapis.com,69,65648,46,17523,True,False,False
stock,B,play.googleapis.com,85,48772,90,32199,True,False,False
stock,B,time.google.com,2,180,2,180,True,False,False
stock,B,www.google.com,11,1573,11,4304,True,False,False
stock,B,www.gstatic.com,2392,165919,6332,9187850,True,False,False
grapheneos,A,android.googleapis.com,17,8792,20,7647,True,False,False
grapheneos,A,people-pa.googleapis.com,47,11670,53,17664,True,False,False
lineage-gapps,A,android.googleapis.com,18,9493,21,10121,True,False,False
lineage-gapps,A,androidpay-users-pa.googleapis.com,14,5962,17,10226,True,False,False
lineage-gapps,A,locationhistory-pa.googleapis.com,16,2961,14,5404,True,False,False
lineage-gapps,A2,androidpay-users-pa.googleapis.com,26,8777,27,18078,True,False,False
lineage-gapps,A2,mdns.mcast.net,6,2892,0,0,False,False,False
lineage-gapps,A2,zr-in-f95.1e100.net,1,66,0,0,True,False,False
stock,A,connectivitycheck.gstatic.com,9,1437,8,4139,True,False,False
stock,A,dl.google.com,42751,2851899,108263,158700542,True,True,False
stock,A,mdns.mcast.net,8,3872,0,0,False,False,False
stock,A,nt-in-f138.1e100.net,9,2914,9,4241,True,False,False
stock,A,photosdata-pa.googleapis.com,302,132496,293,129259,True,False,False
stock,A,region1.app-measurement.com,38,15857,35,20048,True,False,False
stock,A,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,2053,159647,16281,21008591,True,True,False
stock,A,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,1190,93774,8343,10761230,True,True,False
stock,A,www.gstatic.com,4335,292170,10572,15475771,True,False,False
stock,A,zo-in-f139.1e100.net,15,8086,20,7413,True,False,False
stock,A,zq-in-f156.1e100.net,2,132,1,66,True,False,False
stock,A2,android.googleapis.com,103,37754,110,43942,True,False,False
stock,A2,clients.l.google.com,21,8574,24,7606,True,False,False
stock,A2,contactsui-pa.googleapis.com,237,120728,228,101479,True,False,False
stock,A2,host-109.232.31.108.virtuaoperator.pl,2060,161339,16208,20919857,False,False,False
stock,A2,host-109.232.31.109.virtuaoperator.pl,1185,94412,8317,10730902,False,False,False
stock,A2,mdns.mcast.net,6,2904,0,0,False,False,False
stock,A2,play-fe.googleapis.com,29,15699,29,11870,True,False,False
stock,A2,rc-in-f92.1e100.net,1,66,0,0,True,False,False
stock,A2,region1.app-measurement.com,24,9591,26,6127,True,False,False
stock,A2,www.gstatic.com,2457,170851,6469,9411349,True,False,False
stock,B,clients.l.google.com,21,8531,24,7751,True,False,False
stock,B,host-109.232.31.108.virtuaoperator.pl,1918,150408,16519,21316768,False,False,False
stock,B,play-fe.googleapis.com,19,7992,23,11010,True,False,False
stock,B,play.googleapis.com,37,15525,47,17893,True,False,False
stock,B,region1.app-measurement.com,30,10441,27,10919,True,False,False
stock,B,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,1032,81929,8457,10916543,True,True,False
stock,B,www.googleapis.com,108,62861,105,45406,True,False,False
stock,B,www.gstatic.com,1034,70341,2454,3562362,True,False,False
