OS,Scenario,Domain,Sent_Packets,Sent_Bytes,Recv_Packets,Recv_Bytes,isGoogle,isUpdatePayload,isFirstParty
iode,C,captiveportal.kuketz.de,17,2376,18,5073,False,False,False
iode,C,content-signature-2.cdn.mozilla.net,15,1733,16,10320,False,False,False
iode,C,igmp.mcast.net,4,216,0,0,False,False,False
iode,C,mozilla.map.fastly.net,167,13403,253,339049,False,False,False
iode,C,remoteprovisioning.googleapis.com,15,4287,22,20678,True,False,False
iode,C,www.gstatic.com,52,6967,90,79331,True,False,False
lineage,C,connectivitycheck.gstatic.com,5,565,5,484,True,False,False
lineage,C,firebaseinstallations.googleapis.com,26,6408,34,26601,True,False,False
lineage,C,igmp.mcast.net,14,756,0,0,False,False,False
lineage,C,mdns.mcast.net,2,247,0,0,False,False,False
lineage,C,stats.lineageos.org,9,1687,10,5062,False,False,True
lineage,C,time.android.com,1,90,1,90,True,False,False
lineage,C,www.google.com,11,1585,13,4424,True,False,False
lineage,C,www.gstatic.com,53,6937,88,77256,True,False,False
lineage-gapps,A,accounts.google.com,285,89896,449,440840,True,False,False
lineage-gapps,A,android.googleapis.com,1361,735862,1436,568523,True,False,False
lineage-gapps,A,android.l.google.com,852,454950,980,669476,True,False,False
lineage-gapps,A,clients.l.google.com,32,9236,32,13762,True,False,False
lineage-gapps,A,connectivitycheck.gstatic.com,84,15484,63,24175,True,False,False
lineage-gapps,A,ggl-ds-es11.ue4.odcus.nmcs.gcloud.thalescloud.io,24,5496,18,5406,False,False,False
lineage-gapps,A,googleads.g.doubleclick.net,26,8848,28,15822,True,False,False
lineage-gapps,A,googlehosted.l.googleusercontent.com,55,11207,59,52564,True,False,False
lineage-gapps,A,i.ytimg.com,19,2480,20,19337,True,False,False
lineage-gapps,A,igmp.mcast.net,20,1080,0,0,False,False,False
lineage-gapps,A,lpa.ds.prod.ondemandconnectivity.com,22,5048,15,4200,False,False,False
lineage-gapps,A,mdns.mcast.net,73,24243,0,0,False,False,False
lineage-gapps,A,mobile-gtalk.l.google.com,35,6088,42,24993,True,False,False
lineage-gapps,A,pay-users-pa.googleapis.com,80,20635,89,35937,True,False,False
lineage-gapps,A,play-fe.googleapis.com,212,67229,237,98149,True,False,False
lineage-gapps,A,region1.app-measurement.com,16,3878,17,7466,True,False,False
lineage-gapps,A,rr1.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,323,36615,1821,2319848,True,True,False
lineage-gapps,A,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,4879,411669,36233,46892883,True,True,False
lineage-gapps,A,rr2.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,18,4598,21,17385,True,True,False
lineage-gapps,A,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,9404,750642,66593,86695096,True,True,False
lineage-gapps,A,rr3.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,3187,237833,16927,22805588,True,True,False
lineage-gapps,A,sb.l.google.com,89,80539,73,30158,True,False,False
lineage-gapps,A,stats.lineageos.org,10,1752,10,5055,False,False,True
lineage-gapps,A,storage.googleapis.com,57111,3823724,142020,208149635,True,True,False
lineage-gapps,A,time.android.com,3,270,3,270,True,False,False
lineage-gapps,A,update.googleapis.com,607,73340,2742,3413090,True,False,False
lineage-gapps,A,voilatile-pa.googleapis.com,3892,1443435,6650,6870539,True,False,False
lineage-gapps,A,wallet.google.com,23,4824,31,29603,True,False,False
lineage-gapps,A,www.google.com,321,96752,286,102042,True,False,False
lineage-gapps,A,www.gstatic.com,2448,245128,4751,6558647,True,False,False
lineage-gapps,A2,TIME.google.com,2,180,2,180,True,False,False
lineage-gapps,A2,accounts.google.com,265,129485,475,488435,True,False,False
lineage-gapps,A2,androidpay-users-pa.googleapis.com,36,11672,46,21456,True,False,False
lineage-gapps,A2,clients.l.google.com,414,113872,550,425069,True,False,False
lineage-gapps,A2,connectivitycheck.gstatic.com,543,55959,2670,3383039,True,False,False
lineage-gapps,A2,digitalassetlinks.googleapis.com,4007,1653361,7338,7644521,True,False,False
lineage-gapps,A2,dl.google.com,12,1711,12,10093,True,True,False
lineage-gapps,A2,ggl-ds-es11.ue4.odcus.nmcs.gcloud.thalescloud.io,21,5226,17,5328,False,False,False
lineage-gapps,A2,googleads.g.doubleclick.net,31,9261,31,17893,True,False,False
lineage-gapps,A2,googlehosted.l.googleusercontent.com,53,11082,66,51671,True,False,False
lineage-gapps,A2,i.ytimg.com,97,13016,139,172575,True,False,False
lineage-gapps,A2,igmp.mcast.net,28,1512,0,0,False,False,False
lineage-gapps,A2,lpa.ds.prod.ondemandconnectivity.com,20,4911,17,5159,False,False,False
lineage-gapps,A2,mdns.mcast.net,185,55763,0,0,False,False,False
lineage-gapps,A2,mobile-gtalk.l.google.com,40,6312,42,25856,True,False,False
lineage-gapps,A2,pay-users-pa.googleapis.com,75,20240,89,60578,True,False,False
lineage-gapps,A2,play-fe.googleapis.com,762,419254,775,454271,True,False,False
lineage-gapps,A2,play.googleapis.com,1367,670562,1454,563826,True,False,False
lineage-gapps,A2,region1.app-measurement.com,16,3834,15,7284,True,False,False
lineage-gapps,A2,rr1.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,301,34760,1749,2227994,True,True,False
lineage-gapps,A2,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,4854,419373,37067,47931701,True,True,False
lineage-gapps,A2,rr2.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,15,5584,19,17231,True,True,False
lineage-gapps,A2,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,9816,784996,68779,89505742,True,True,False
lineage-gapps,A2,rr3.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,3064,231058,17406,23425181,True,True,False
lineage-gapps,A2,sb.l.google.com,74,77663,54,19508,True,False,False
lineage-gapps,A2,stats.lineageos.org,10,1753,10,5061,False,False,True
lineage-gapps,A2,storage.googleapis.com,49961,3347840,141710,207710587,True,True,False
lineage-gapps,A2,update.googleapis.com,17,5820,16,7441,True,False,False
lineage-gapps,A2,www.google.com,252,62294,223,64480,True,False,False
lineage-gapps,A2,www.gstatic.com,1866,210829,3711,4927163,True,False,False
lineage-gapps,B,TIME.google.com,2,180,2,180,True,False,False
lineage-gapps,B,accounts.google.com,203,26967,296,366842,True,False,False
lineage-gapps,B,clients.l.google.com,97,58177,98,45976,True,False,False
lineage-gapps,B,connectivitycheck.gstatic.com,5,565,5,484,True,False,False
lineage-gapps,B,digitalassetlinks.googleapis.com,2292,952113,4489,5057800,True,False,False
lineage-gapps,B,dl.google.com,14,1855,13,11308,True,True,False
lineage-gapps,B,encrypted-tbn0.gstatic.com,146,26406,196,224593,True,False,False
lineage-gapps,B,encrypted-tbn3.gstatic.com,153,48176,165,76115,True,False,False
lineage-gapps,B,ggl-ds-es11.ue4.odcus.nmcs.gcloud.thalescloud.io,24,5512,20,5568,False,False,False
lineage-gapps,B,lpa.ds.prod.ondemandconnectivity.com,23,5179,18,5254,False,False,False
lineage-gapps,B,mobile-gtalk.l.google.com,40,5484,39,24467,True,False,False
lineage-gapps,B,play-fe.googleapis.com,408,237000,412,254440,True,False,False
lineage-gapps,B,play.googleapis.com,808,393401,857,374172,True,False,False
lineage-gapps,B,region1.app-measurement.com,31,7800,30,14540,True,False,False
lineage-gapps,B,rr1.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,287,29928,1804,2316711,True,True,False
lineage-gapps,B,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,5054,419877,34014,44031877,True,True,False
lineage-gapps,B,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,8818,689138,62136,80986196,True,True,False
lineage-gapps,B,rr3.sn-8pgu05v2xg5uvg-f5fl.gvt1.com,3212,232725,14242,19339911,True,True,False
lineage-gapps,B,sb.l.google.com,76,78929,65,21354,True,False,False
lineage-gapps,B,ssl.gstatic.com,42,7118,41,16723,True,False,False
lineage-gapps,B,stats.lineageos.org,10,1765,11,5156,False,False,True
lineage-gapps,B,storage.googleapis.com,51937,3464608,140970,206577870,True,True,False
lineage-gapps,B,update.googleapis.com,193,33638,166,48949,True,False,False
lineage-gapps,B,www.google.com,428,83432,397,118348,True,False,False
lineage-gapps,B,www.gstatic.com,1992,220333,6066,8056580,True,False,False
lineage-microg,A,accounts.google.com,306,148297,458,338797,True,False,False
lineage-microg,A,android.googleapis.com,45,11321,55,28439,True,False,False
lineage-microg,A,android.l.google.com,146,39289,171,84599,True,False,False
lineage-microg,A,connectivitycheck.gstatic.com,6,643,6,550,True,False,False
lineage-microg,A,dl.google.com,11,1645,12,10092,True,True,False
lineage-microg,A,googlehosted.l.googleusercontent.com,26,5414,32,26312,True,False,False
lineage-microg,A,mobile-gtalk.l.google.com,16,2590,17,8439,True,False,False
lineage-microg,A,notifications-pa.googleapis.com,147,15874,314,423258,True,False,False
lineage-microg,A,play-fe.googleapis.com,98,128263,82,11136,True,False,False
lineage-microg,A,remoteprovisioning.googleapis.com,47,10480,53,37616,True,False,False
lineage-microg,A,stats.lineageos.org,9,1686,9,5003,False,False,True
